Step,Sequence,Combination Value
1,"[ -1 -3 -3 -1 ]",-8
2,"[ -1 -3 -3 0 ]",-7
3,"[ -1 -3 -3 1 ]",-6
4,"[ -1 -3 0 -1 ]",-5
5,"[ -1 -3 0 0 ]",-4
6,"[ -1 -3 0 1 ]",-3
7,"[ -1 -3 3 -1 ]",-2
8,"[ -1 -3 3 0 ]",-1
9,"[ -1 -3 3 1 ]",0
10,"[ -1 0 -3 -1 ]",-5
11,"[ -1 0 -3 0 ]",-4
12,"[ -1 0 -3 1 ]",-3
13,"[ -1 0 0 -1 ]",-2
14,"[ -1 0 0 0 ]",-1
15,"[ -1 0 0 1 ]",0
16,"[ -1 0 3 -1 ]",1
17,"[ -1 0 3 0 ]",2
18,"[ -1 0 3 1 ]",3
19,"[ -1 3 -3 -1 ]",-2
20,"[ -1 3 -3 0 ]",-1
21,"[ -1 3 -3 1 ]",0
22,"[ -1 3 0 -1 ]",1
23,"[ -1 3 0 0 ]",2
24,"[ -1 3 0 1 ]",3
25,"[ -1 3 3 -1 ]",4
26,"[ -1 3 3 0 ]",5
27,"[ -1 3 3 1 ]",6
28,"[ 0 -3 -3 -1 ]",-7
29,"[ 0 -3 -3 0 ]",-6
30,"[ 0 -3 -3 1 ]",-5
31,"[ 0 -3 0 -1 ]",-4
32,"[ 0 -3 0 0 ]",-3
33,"[ 0 -3 0 1 ]",-2
34,"[ 0 -3 3 -1 ]",-1
35,"[ 0 -3 3 0 ]",0
36,"[ 0 -3 3 1 ]",1
37,"[ 0 0 -3 -1 ]",-4
38,"[ 0 0 -3 0 ]",-3
39,"[ 0 0 -3 1 ]",-2
40,"[ 0 0 0 -1 ]",-1
41,"[ 0 0 0 0 ]",0
42,"[ 0 0 0 1 ]",1
43,"[ 0 0 3 -1 ]",2
44,"[ 0 0 3 0 ]",3
45,"[ 0 0 3 1 ]",4
46,"[ 0 3 -3 -1 ]",-1
47,"[ 0 3 -3 0 ]",0
48,"[ 0 3 -3 1 ]",1
49,"[ 0 3 0 -1 ]",2
50,"[ 0 3 0 0 ]",3
51,"[ 0 3 0 1 ]",4
52,"[ 0 3 3 -1 ]",5
53,"[ 0 3 3 0 ]",6
54,"[ 0 3 3 1 ]",7
55,"[ 1 -3 -3 -1 ]",-6
56,"[ 1 -3 -3 0 ]",-5
57,"[ 1 -3 -3 1 ]",-4
58,"[ 1 -3 0 -1 ]",-3
59,"[ 1 -3 0 0 ]",-2
60,"[ 1 -3 0 1 ]",-1
61,"[ 1 -3 3 -1 ]",0
62,"[ 1 -3 3 0 ]",1
63,"[ 1 -3 3 1 ]",2
64,"[ 1 0 -3 -1 ]",-3
65,"[ 1 0 -3 0 ]",-2
66,"[ 1 0 -3 1 ]",-1
67,"[ 1 0 0 -1 ]",0
68,"[ 1 0 0 0 ]",1
69,"[ 1 0 0 1 ]",2
70,"[ 1 0 3 -1 ]",3
71,"[ 1 0 3 0 ]",4
72,"[ 1 0 3 1 ]",5
73,"[ 1 3 -3 -1 ]",0
74,"[ 1 3 -3 0 ]",1
75,"[ 1 3 -3 1 ]",2
76,"[ 1 3 0 -1 ]",3
77,"[ 1 3 0 0 ]",4
78,"[ 1 3 0 1 ]",5
79,"[ 1 3 3 -1 ]",6
80,"[ 1 3 3 0 ]",7
81,"[ 1 3 3 1 ]",8
